year,total_pop,homs_sum,rape_sum,rob_sum,agg_ass_sum,violent_crime,months_reported,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,abb,state_name,city_name,city_state
1975,286238,30,181,819,1353,2383,12,832.523983538174,10.4807887142867,63.2340919095298,286.125531900027,472.683571014331,NM,New Mexico,Albuquerque,"Albuquerque, New Mexico"
1975,112478,5,28,113,132,278,12,247.159444513594,4.44531375024449,24.8937570013692,100.464090755526,117.356283006455,TX,Texas,Arlington,"Arlington, Texas"
1975,490584,185,443,3887,3518,8033,12,1637.43619848996,37.7101576896108,90.3005397648517,792.320988862254,717.104512173247,GA,Georgia,Atlanta,"Atlanta, Georgia"
1975,116656,7,44,171,389,611,12,523.76217254149,6.00054862158826,37.7177341928405,146.584830613085,333.459059113976,CO,Colorado,Aurora,"Aurora, Colorado"
1975,300400,33,190,529,463,1215,12,404.460719041278,10.9853528628495,63.2490013315579,176.098535286285,154.127829560586,TX,Texas,Austin,"Austin, Texas"
1975,864100,259,463,9055,6309,16086,12,1861.59009373915,29.9733827103345,53.5817613702118,1047.91112139799,730.123828260618,MD,Maryland,Baltimore,"Baltimore, Maryland"
1975,642154,25,137,750,347,1259,12,196.058889300697,3.89314712670169,21.3344462543253,116.794413801051,54.0368821186195,MD,Maryland,Baltimore County,"Baltimore County, Maryland"
1975,315e4,818,1657,22171,12514,37160,12,1179.68253968254,25.968253968254,52.6031746031746,703.84126984127,397.269841269841,IL,Illinois,Chicago,"Chicago, Illinois"
1975,433367,64,261,1745,1508,3578,12,825.628162735049,14.768083402751,60.226090126844,402.661024028133,347.972965177321,OH,Ohio,Cincinnati,"Cincinnati, Ohio"
1975,659931,288,491,7100,2524,10403,12,1576.3769242542,43.6409260968192,74.4017177553411,1075.87005308131,382.464227320735,OH,Ohio,Cleveland,"Cleveland, Ohio"
1975,572797,62,416,2402,1100,3980,12,694.836041389882,10.8240790367268,72.6260786980379,419.34577171319,192.040111941927,OH,Ohio,Columbus,"Columbus, Ohio"
