year,total_pop,state_name,city_name,crime,cases,avg_case,state_pop
1975,286238,New Mexico,Albuquerque,homicides,30,30,1431190
1975,112478,Texas,Arlington,homicides,5,120.42857142857143,20844870
1975,490584,Georgia,Atlanta,homicides,185,185,2452920
1975,116656,Colorado,Aurora,homicides,7,40.5,3123980
1975,300400,Texas,Austin,homicides,33,120.42857142857143,20844870
1975,864100,Maryland,Baltimore,homicides,259,87.25,12858990
1975,642154,Maryland,Baltimore County,homicides,25,87.25,12858990
1975,616120,Massachusetts,Boston,homicides,119,119,3080600
1975,422276,New York,Buffalo,homicides,63,434.75,50814540
1975,262103,North Carolina,Charlotte-Mecklenburg,homicides,68,42.5,2060215
1975,315e4,Illinois,Chicago,homicides,818,818,1575e4
1975,433367,Ohio,Cincinnati,homicides,64,138,8330475
1975,659931,Ohio,Cleveland,homicides,288,138,8330475
1975,572797,Ohio,Columbus,homicides,62,138,8330475
1975,864665,Texas,Dallas,homicides,237,120.42857142857143,20844870
1975,508140,Colorado,Denver,homicides,74,40.5,3123980
1975,1432444,Michigan,Detroit,homicides,633,633,7162220
1975,369e3,Texas,El Paso,homicides,21,120.42857142857143,20844870
1975,487905,Virginia,Fairfax County,homicides,21,21.5,3525485
1975,381275,Texas,Fort Worth,homicides,69,120.42857142857143,20844870
1975,176500,California,Fresno,homicides,25,129.55555555555554,34294115
1975,705262,Hawaii,Honolulu,homicides,58,58,3526310
1975,1372342,Texas,Houston,homicides,347,120.42857142857143,20844870
1975,503411,Indiana,Indianapolis,homicides,95,95,2517055
1975,542792,Florida,Jacksonville,homicides,91,74.2,9614445
1975,489094,Missouri,Kansas City,homicides,114,177,5290470
1975,249186,Nevada,Las Vegas,homicides,37,37,1245930
1975,340758,California,Long Beach,homicides,54,129.55555555555554,34294115
1975,2729878,California,Los Angeles,homicides,554,129.55555555555554,34294115
1975,1022888,California,Los Angeles County,homicides,138,129.55555555555554,34294115
1975,646483,Tennessee,Memphis,homicides,120,106.5,5480415
1975,113176,Arizona,Mesa,homicides,2,33.333333333333336,5608610
1975,350742,Florida,Miami,homicides,98,74.2,9614445
1975,619795,Florida,Miami-Dade County,homicides,94,74.2,9614445
1975,674369,Wisconsin,Milwaukee,homicides,70,70,3371845
1975,405378,Minnesota,Minneapolis,homicides,47,47,2026890
1975,496092,Maryland,Montgomery County,homicides,19,87.25,12858990
1975,449600,Tennessee,Nashville,homicides,93,106.5,5480415
1975,1100426,New York,Nassau County,homicides,18,434.75,50814540
1975,571934,Louisiana,New Orleans,homicides,158,158,2859670
1975,7422506,New York,New York City,homicides,1645,434.75,50814540
1975,372663,New Jersey,Newark,homicides,122,122,1863315
1975,337748,California,Oakland,homicides,111,129.55555555555554,34294115
1975,384081,Oklahoma,Oklahoma City,homicides,61,50,3658405
1975,118457,Florida,Orlando,homicides,21,74.2,9614445
1975,1883253,Pennsylvania,Philadelphia,homicides,435,249,11811680
1975,668046,Arizona,Phoenix,homicides,75,33.333333333333336,5608610
1975,479083,Pennsylvania,Pittsburgh,homicides,63,249,11811680
1975,373126,Oregon,Portland,homicides,48,48,1865630
1975,569452,Maryland,Prince George's County,homicides,46,87.25,12858990
1975,149940,North Carolina,Raleigh,homicides,17,42.5,2060215
1975,262994,California,Sacramento,homicides,42,129.55555555555554,34294115
1975,18e4,Utah,Salt Lake City,homicides,11,11,9e5
1975,768814,Texas,San Antonio,homicides,131,120.42857142857143,20844870
1975,768713,California,San Diego,homicides,64,129.55555555555554,34294115
1975,669977,California,San Francisco,homicides,138,129.55555555555554,34294115
1975,549367,California,San Jose,homicides,40,129.55555555555554,34294115
1975,503500,Washington,Seattle,homicides,52,52,2517500
1975,569e3,Missouri,St. Louis,homicides,240,177,5290470
1975,1217700,New York,Suffolk County,homicides,13,434.75,50814540
1975,291103,Florida,Tampa,homicides,67,74.2,9614445
1975,340500,Arizona,Tucson,homicides,23,33.333333333333336,5608610
1975,347600,Oklahoma,Tulsa,homicides,39,50,3658405
1975,217192,Virginia,Virginia Beach,homicides,22,21.5,3525485
1975,259240,Kansas,Wichita,homicides,36,36,1296200
1976,292265,New Mexico,Albuquerque,homicides,28,28,1461325
1976,107470,Texas,Arlington,homicides,5,113.42857142857143,21183060
1976,457300,Georgia,Atlanta,homicides,154,154,2286500
1976,132e3,Colorado,Aurora,homicides,2,44,3278380
1976,284908,Texas,Austin,homicides,24,113.42857142857143,21183060
1976,860974,Maryland,Baltimore,homicides,200,70.5,12808580
1976,642369,Maryland,Baltimore County,homicides,19,70.5,12808580
1976,619437,Massachusetts,Boston,homicides,81,81,3097185
1976,425101,New York,Buffalo,homicides,54,432.5,50929395
1976,274020,North Carolina,Charlotte-Mecklenburg,homicides,52,31.5,2110565
1976,3134499,Illinois,Chicago,homicides,814,814,15672495
1976,427045,Ohio,Cincinnati,homicides,56,115,8324215
1976,642298,Ohio,Cleveland,homicides,236,115,8324215
1976,595500,Ohio,Columbus,homicides,53,115,8324215
1976,888450,Texas,Dallas,homicides,230,113.42857142857143,21183060
1976,523676,Colorado,Denver,homicides,86,44,3278380
1976,1334100,Michigan,Detroit,homicides,663,663,6670500
1976,361413,Texas,El Paso,homicides,25,113.42857142857143,21183060
1976,524272,Virginia,Fairfax County,homicides,17,14.5,3702240
1976,364302,Texas,Fort Worth,homicides,70,113.42857142857143,21183060
1976,177900,California,Fresno,homicides,28,125.44444444444444,34378325
1976,718424,Hawaii,Honolulu,homicides,40,40,3592120
1976,1477e3,Texas,Houston,homicides,321,113.42857142857143,21183060
1976,494730,Indiana,Indianapolis,homicides,68,68,2473650
1976,543839,Florida,Jacksonville,homicides,90,60.6,9617375
1976,488012,Missouri,Kansas City,homicides,95,138.5,5111090
1976,265347,Nevada,Las Vegas,homicides,35,35,1326735
1976,340900,California,Long Beach,homicides,69,125.44444444444444,34378325
1976,2739100,California,Los Angeles,homicides,501,125.44444444444444,34378325
1976,1027865,California,Los Angeles County,homicides,155,125.44444444444444,34378325
1976,649819,Tennessee,Memphis,homicides,113,93.5,5478990
1976,100763,Arizona,Mesa,homicides,5,27.333333333333332,5553475
1976,338721,Florida,Miami,homicides,84,60.6,9617375
1976,649499,Florida,Miami-Dade County,homicides,70,60.6,9617375
1976,652517,Wisconsin,Milwaukee,homicides,57,57,3262585
1976,397421,Minnesota,Minneapolis,homicides,27,27,1987105
1976,480055,Maryland,Montgomery County,homicides,26,70.5,12808580
1976,445979,Tennessee,Nashville,homicides,74,93.5,5478990
1976,1053093,New York,Nassau County,homicides,20,432.5,50929395
1976,557327,Louisiana,New Orleans,homicides,170,170,2786635
1976,7530493,New York,New York City,homicides,1622,432.5,50929395
1976,367886,New Jersey,Newark,homicides,99,99,1839430
1976,333100,California,Oakland,homicides,98,125.44444444444444,34378325
1976,376522,Oklahoma,Oklahoma City,homicides,36,31.5,3630190
1976,116848,Florida,Orlando,homicides,17,60.6,9617375
1976,1916665,Pennsylvania,Philadelphia,homicides,338,200,12018855
1976,669005,Arizona,Phoenix,homicides,53,27.333333333333332,5553475
1976,487106,Pennsylvania,Pittsburgh,homicides,62,200,12018855
1976,379818,Oregon,Portland,homicides,39,39,1899090
1976,578318,Maryland,Prince George's County,homicides,37,70.5,12808580
1976,148093,North Carolina,Raleigh,homicides,11,31.5,2110565
1976,260700,California,Sacramento,homicides,52,125.44444444444444,34378325
1976,175400,Utah,Salt Lake City,homicides,11,11,877e3
1976,753069,Texas,San Antonio,homicides,119,113.42857142857143,21183060
1976,773400,California,San Diego,homicides,59,125.44444444444444,34378325
1976,665e3,California,San Francisco,homicides,130,125.44444444444444,34378325
1976,557700,California,San Jose,homicides,37,125.44444444444444,34378325
1976,503500,Washington,Seattle,homicides,42,42,2517500
1976,534206,Missouri,St. Louis,homicides,182,138.5,5111090
1976,1177192,New York,Suffolk County,homicides,34,432.5,50929395
1976,274568,Florida,Tampa,homicides,42,60.6,9617375
1976,340927,Arizona,Tucson,homicides,24,27.333333333333332,5553475
1976,349516,Oklahoma,Tulsa,homicides,27,31.5,3630190
1976,216176,Virginia,Virginia Beach,homicides,12,14.5,3702240
1976,256455,Kansas,Wichita,homicides,19,19,1282275
1977,292341,New Mexico,Albuquerque,homicides,31,31,1461705
1977,112994,Texas,Arlington,homicides,4,131,22275710
1977,440300,Georgia,Atlanta,homicides,138,138,2201500
1977,137200,Colorado,Aurora,homicides,3,38,3287e3
1977,321900,Texas,Austin,homicides,33,131,22275710
1977,827494,Maryland,Baltimore,homicides,171,64.5,12560305
1977,643363,Maryland,Baltimore County,homicides,22,64.5,12560305
1977,619321,Massachusetts,Boston,homicides,75,75,3096605
1977,415352,New York,Buffalo,homicides,45,412.75,50413965
1977,262314,North Carolina,Charlotte-Mecklenburg,homicides,47,28.5,2075770
1977,3086806,Illinois,Chicago,homicides,823,823,15434030
1977,423671,Ohio,Cincinnati,homicides,72,130,8156320
1977,638793,Ohio,Cleveland,homicides,249,130,8156320
1977,568800,Ohio,Columbus,homicides,69,130,8156320
1977,873700,Texas,Dallas,homicides,224,131,22275710
1977,520200,Colorado,Denver,homicides,73,38,3287e3
1977,1316352,Michigan,Detroit,homicides,479,479,6581760
1977,386e3,Texas,El Paso,homicides,32,131,22275710
1977,517610,Virginia,Fairfax County,homicides,13,14.5,3764670
1977,383028,Texas,Fort Worth,homicides,102,131,22275710
1977,182629,California,Fresno,homicides,52,138.11111111111111,34964485
1977,721983,Hawaii,Honolulu,homicides,46,46,3609915
1977,1613303,Texas,Houston,homicides,376,131,22275710
1977,509e3,Indiana,Indianapolis,homicides,80,80,2545e3
1977,528698,Florida,Jacksonville,homicides,77,59.4,9517935
1977,492055,Missouri,Kansas City,homicides,97,146,5020570
1977,279791,Nevada,Las Vegas,homicides,59,59,1398955
1977,346662,California,Long Beach,homicides,75,138.11111111111111,34964485
1977,2785393,California,Los Angeles,homicides,576,138.11111111111111,34964485
1977,1040180,California,Los Angeles County,homicides,173,138.11111111111111,34964485
1977,667150,Tennessee,Memphis,homicides,105,93.5,5618695
1977,116400,Arizona,Mesa,homicides,4,36.333333333333336,5525500
1977,333713,Florida,Miami,homicides,84,59.4,9517935
1977,657954,Florida,Miami-Dade County,homicides,90,59.4,9517935
1977,640489,Wisconsin,Milwaukee,homicides,54,54,3202445
1977,390294,Minnesota,Minneapolis,homicides,38,38,1951470
